Company Name,Industry,Symbol,Series,ISIN Code
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010
